Layer,M,N,K
Qgen,512,1024,1024
Kgen,512,1024,1024
Vgen,512,1024,1024
QKT-H0,512,512,64
PV-H0,512,64,512
QKT-H1,512,512,64
PV-H1,512,64,512
QKT-H2,512,512,64
PV-H2,512,64,512
QKT-H3,512,512,64
PV-H3,512,64,512
QKT-H4,512,512,64
PV-H4,512,64,512
QKT-H5,512,512,64
PV-H5,512,64,512
QKT-H6,512,512,64
PV-H6,512,64,512
QKT-H7,512,512,64
PV-H7,512,64,512
QKT-H8,512,512,64
PV-H8,512,64,512
QKT-H9,512,512,64
PV-H9,512,64,512
QKT-H10,512,512,64
PV-H10,512,64,512
QKT-H11,512,512,64
PV-H11,512,64,512
QKT-H12,512,512,64
PV-H12,512,64,512
QKT-H13,512,512,64
PV-H13,512,64,512
QKT-H14,512,512,64
PV-H14,512,64,512
QKT-H15,512,512,64
PV-H15,512,64,512
Concat,512,1024,1024
Linear-1,512,4096,1024
Linear-2,512,1024,4096
