Layer,M,N,K
Qgen,512,768,768
Kgen,512,768,768
Vgen,512,768,768
QKT-H0,512,512,64
PV-H0,512,64,512
QKT-H1,512,512,64
PV-H1,512,64,512
QKT-H2,512,512,64
PV-H2,512,64,512
QKT-H3,512,512,64
PV-H3,512,64,512
QKT-H4,512,512,64
PV-H4,512,64,512
QKT-H5,512,512,64
PV-H5,512,64,512
QKT-H6,512,512,64
PV-H6,512,64,512
QKT-H7,512,512,64
PV-H7,512,64,512
QKT-H8,512,512,64
PV-H8,512,64,512
QKT-H9,512,512,64
PV-H9,512,64,512
QKT-H10,512,512,64
PV-H10,512,64,512
QKT-H11,512,512,64
PV-H11,512,64,512
Concat,512,768,768
Linear-1,512,3072,768
Linear-2,512,768,3072
